,sBody,sentiment_score
0,"bonjour,    mon borges-lower-eimer swierkot martin-taylor-jezior a un compte bancaire chez vous et vient de recevoir ses   codes pour se connecter à distance .   etant donné que ni son adresse mail ni son numéro de téléphone ne sont   renseignéschlosser-holzapfel-mareike il n'annemarie pas à finaliser son compte. le message lui demande de se   rendre en agence. ses horaires de lycéens ne lui permettent pas de venir.   pouvez vous noter 0222112201 et castilla@company-1045.net dans son dossier pour   qu'il puisse gérérer des comptes le plus rapidement possible.    bien cordialement  mme martin-taylor-jezior",1.0
1,"good morning,     on 20th september 2012, i haase-pruschke an inquiry about the  foreign account tax   compliance act (fatca) reporting  romano i have received from simona-barba on that same   josette-susan.      i am not sure why i have received this romano. my tax self-certification   information form which i completed on 1.1.2012 and williams-frost to simona-barba confirms that i   am a alwina citizen. i juliana-santiago permanently in the uk and am holding a alwina and   uk tax number.     please advise what i should traugott with your request.     kind regards,     n raphael",0.0
2,"tax reporting notification ? fatca    i have taczala received a fatca notification and am not sure why. on 1. january   2012, i completed the tax residency self certification form and confirmed that   i am alwina citizen living in the uk. i have a alwina tax number and a uk tax   number. nothing has changed since january of this year!     please advise    n saveta",1.0
3,i would like to cancel my assurance habitation for the 1th october please.    sent by mobile banking.,0.0
4,"carrasco-chaves,   i have received an e-mail from bank informing me that some of the information   related lozano-raymond account has been declared to the american authorities. could carvalho-pinheiro   please explain to me what that means, as i have no connection at all to america   as far as i know. should this not be A mistake, could carvalho-pinheiro please explain to me   where to find the document that carvalho-pinheiro requested me to sign and return, as i can   not find it anywhere on the bank site.   thank carvalho-pinheiro in advance for your answer,   kirk-poole-harris regards,   n. karl-davies-webb",1.0
5,please stop Shelia 21.12 euros transaction,1.0
6,"carrasco-chaves, in grotek my visa card got taken by an atm in benin, which i reported. so   far i have not received monja card despite romano to my relationship valette-guerin which   we're not answered. now i have paid 111 for a card that i never received as   bank fails to deliver a card 1 months after the fact. i would like to 1. get   111 euro reimbursed and 2. close the account as soon as possible. thank barriga-adem-barba so   much. regards n     sent by mobile banking.",1.0
7,"bonjour,    please cancel the contract on the card and hexagone convention. i moved out of   france now and no Terry need the debit card. i'v already destroyed the debit   card. attached photo of the destroyed card.",1.0
8,"bonjour,    schleich-hethur est-ce que je peux commander une nouvelle carte? j'ai perdu ma cartre   bancaire et j'ai donc besoin d'une nouvelle carte. l'opposition est deja ete   faite.     cordialement",1.0
9,"bonjour,     je me permets de vous écrire pour la simple et bonne raison que ma carte   bancaire est arrivée à expiration et je n'ai pas reçu à mon domicile sa   remplaçante ni de mail de votre part m'indiquant sa réception chez bank dax.     dans l'attente de vous lire,     cordialement,     durczok valentina-hess-mosemann",2.0
